Reference, Count, Speakers
We Can Do Better and Be Better,2,['Elder Scott D. Whiting', 'Elder Dale G. Renlund']
Alma 33:22,1,['Elder D. Todd Christofferson']
Psalm 26:2–3,1,['Elder David A. Bednar']
Luke 8:25,1,['Lisa L. Harkness']
Daughters in My Kingdom: The History and Work of Relief Society,1,['President Russell M. Nelson']
Alma 32:27,1,['Lisa L. Harkness']
Closing Remarks,1,['Elder Kelly R. Johnson']
Luke 21:36,2,['President M. Russell Ballard', 'President M. Russell Ballard']
Prophets  Leadership  and Divine Law,1,['Elder Neil L. Andersen']
Matthew 11:28,2,['Lisa L. Harkness', 'Elder Neil L. Andersen']
Doctrine and Covenants 138:42,1,['President Henry B. Eyring']
James 1:22–25,1,['Elder David A. Bednar']
Galatians 5:19–21,1,['Elder Ulisses Soares']
Lust,1,['Elder Ulisses Soares']
John 3:16–17,1,['Elder Gerrit W. Gong']
Mormon 9:28,1,['Elder Ulisses Soares']
Surviving and Thriving like the Pioneers,1,['President Dallin H. Oaks']
Luke 2:52,2,['Elder David A. Bednar', 'Elder Kelly R. Johnson']
Matthew 4:10–11,1,['Elder Ulisses Soares']
Genesis 41:54,4,['Bishop W. Christopher Waddell', 'Bishop W. Christopher Waddell', 'Bishop W. Christopher Waddell', 'Bishop W. Christopher Waddell']
Women of the Church,1,['President Henry B. Eyring']
Mark 4:37,1,['Lisa L. Harkness']
3 Nephi 27:27,2,['Elder Scott D. Whiting', 'Elder Ronald A. Rasband']
2 Timothy 1:7,1,['Elder Kelly R. Johnson']
Isaiah 43:3,1,['Elder Scott D. Whiting']
Mosiah 3:5–12,1,['Becky Craven']
A Plea to My Sisters,1,['President Henry B. Eyring']
Luke 11:2,1,['Lisa L. Harkness']
We Must Raise Our Sights,1,['Becky Craven']
Hebrews 2:10,1,['Elder Matthew S. Holland']
Doctrine and Covenants 9:8,1,['Milton Camargo']
Doctrine and Covenants 6:31,1,['President Dallin H. Oaks']
The Family: A Proclamation to the World,1,['President Russell M. Nelson']
Saints ,1,['Elder Quentin L. Cook']
John 8:12,2,['Elder Scott D. Whiting', 'Elder Ulisses Soares']
Doctrine and Covenants 122:9,1,['Elder Gary E. Stevenson']
Luke 15:1–2,1,['Elder Dale G. Renlund']
3 Nephi 20:27,1,['President Russell M. Nelson']
Moses 1:39,4,['Steven J. Lund', 'Elder William K. Jackson', 'Elder William K. Jackson', 'President Henry B. Eyring']
Opening Remarks,1,['Elder Gary E. Stevenson']
Matthew 5:44,1,['President M. Russell Ballard']
Revelation 7:16–17,1,['Elder Matthew S. Holland']
Genesis 41:25–30,1,['Bishop W. Christopher Waddell']
2 Nephi 31:21,1,['Becky Craven']
4 Nephi 1:45,1,['Elder D. Todd Christofferson']
Micah 6:8,1,['Elder Dale G. Renlund']
Alma 32:42,3,['Elder Jeffrey R. Holland', 'Elder Jeffrey R. Holland', 'Elder Jeffrey R. Holland']
Becoming a Missionary,1,['Steven J. Lund']
